live,Australia tour of India,India,302/4,(40.2/50 ov),Australia,N/A,N/A,Australia chose to field.,/series/australia-in-india-2023-24-1389381/india-vs-australia-2nd-odi-1389389/live-cricket-score,17:26:01 24-09-2023
live,Australia tour of India,India,310/4,(42.2/50 ov),Australia,N/A,N/A,Australia chose to field.,/series/australia-in-india-2023-24-1389381/india-vs-australia-2nd-odi-1389389/live-cricket-score,17:39:30 24-09-2023
